标题,作者,PMID,链接,摘要
From intracellular processing to renal phenotypes: a mechanism-informed framework for interpreting kidney injury and electrolyte patterns with antibody-drug conjugates in solid tumors.,"Jiang Y, Xu J, Wang Z, Zhang S.",42434135,https://pubmed.ncbi.nlm.nih.gov/42434135/,"Abstract

Background: Antibody-drug conjugates (ADCs) have transformed solid-tumor therapy and are increasingly benchmarked directly against physician's-choice chemotherapy. However, kidney adverse events and electrolyte disturbances remain inconsistently captured across trials and are often interpreted without a unified pharmacological framework.

Objective: This review proposes a mechanism-informed narrative framework linking ADC architecture, intracellular processing, and payload exposure pathways to renal injury and electrolyte phenotype hypotheses while contextualizing these patterns against canonical renal-electrolyte programs of conventional cytotoxic chemotherapy.

Approach: We conducted a targeted literature review prioritizing randomized or registrational trials, regulatory labels, real-world or pharmacovigilance data when informative, and phenotype-defining case reports supported by urinary indices, biopsy, or both when available. Evidence is presented using explicit source-level stratification rather than quantitative pooling.

Key messages: Intact ADCs are IgG-based macromolecules with limited glomerular filtration under an intact filtration barrier, whereas released small-molecule payloads or payload-containing catabolites may gain a filtration advantage and create proximal tubular exposure. Comparative studies support toxicity redistribution rather than uniform toxicity reduction. Enfortumab vedotin most often illustrates a systemic/prerenal acute kidney injury (AKI) axis driven by hyperglycemia, diabetic ketoacidosis, infection, and dehydration; sacituzumab govitecan combines gastrointestinal volume depletion with rare biopsy-proven acute tubulointerstitial nephritis; and trastuzumab deruxtecan has generated a hypothesis-defining Fanconi-like proximal tubule signal. Kidney tissue, especially the proximal tubule, contains protease-rich endolysosomal and apical brush-border systems that make renal processing of ADC-derived material biologically plausible, but kidney-specific proof remains limited. Because creatinine-based endpoints may miss mild tubular injury, future ADC programs should consider electrolyte-focused monitoring and the exploration of tubular injury biomarkers.

Conclusion: A trafficking-aligned taxonomy may improve the interpretation of ADC-associated renal and electrolyte events. Kidney Disease: Improving Global Outcomes (KDIGO)-aligned kidney endpoints, standardized electrolyte reporting, and prospective validation of tubular injury biomarkers should be priorities for future ADC trials.

Keywords: acute kidney injury; antibody–drug conjugates; electrolyte disturbances; intracellular trafficking; nephrotoxicity; proximal tubulopathy; solid tumors."
Garadacimab and the future of hereditary angioedema prophylaxis: a step upstream in the bradykinin pathway.,"Chandani HK, Hujjat SFZ, Chandani DK, Khan MS, Mahmoud A.",42433832,https://pubmed.ncbi.nlm.nih.gov/42433832/,"Abstract

Hereditary angioedema (HAE) is a rare autosomal dominant disorder characterized by recurrent, potentially life-threatening episodes of bradykinin-mediated angioedema affecting the skin, gastrointestinal tract, and upper airway. Despite the availability of several prophylactic therapies, there is a need for effective and convenient treatment options. On 21 June 2024, the U.S. Food and Drug Administration approved Andembry™ (garadacimab-gxii), a first-in-class monoclonal antibody that inhibits activated Factor XII (FXIIa), for prophylaxis of HAE attacks in patients aged ≥12 years. By targeting FXIIa, garadacimab acts upstream in the kallikrein-kinin pathway, suppressing bradykinin generation and preventing vascular permeability associated with angioedema. Clinical trials demonstrated substantial reductions in attack frequency, with the phase 3 VANGUARD study reporting a 91.5% reduction in HAE attacks and that approximately 77% of patients remain attack-free during the study period. Garadacimab is administered as a 200-mg subcutaneous injection once monthly and has a favorable pharmacokinetic profile with an elimination half-life of approximately 18-20 days. Adverse events were generally mild, including headache, nasopharyngitis, and injection-site reactions. The approval of garadacimab represents an important advancement in HAE prophylaxis, offering a novel upstream mechanism, convenient dosing, and potential improvement in quality of life of the patients.

Keywords: FXIIa inhibitor; bradykinin; garadacimab; monoclonal antibody; prophylaxis."
A systematic review and network meta analysis of first-line immunotherapy for advanced urothelial carcinoma.,"Liu Y, Song Y, Wu J, Li J, Yang W, Du Y, Qin C, Xu T.",42433711,https://pubmed.ncbi.nlm.nih.gov/42433711/,"Abstract

Aim: To compare the efficacy and safety of first-line systemic therapies for advanced urothelial carcinoma (UC) and identify the relative benefit-risk profiles of available regimens. Methods: We conducted a systematic review and Bayesian random-effects network meta-analysis of randomized controlled trials evaluating first-line systemic therapies for advanced UC (INPLASY2025100112). PubMed, Embase, and the Cochrane Library were searched from inception to November 30, 2025. Time-to-event outcomes were summarized as hazard ratios (HRs) with 95% credible intervals (CrIs) for overall survival (OS) and progression-free survival (PFS), and binary outcomes were summarized as odds ratios (ORs) with 95%CrIs for objective response rate (ORR) and grade ≥ 3 adverse events (AEs). Results: Thirteen trials comparing 10 regimens were included. Immune checkpoint inhibitor plus antibody-drug conjugate (ICI+ADC) was associated with the largest estimated improvements in OS, PFS, and ORR (OS: HR 0.47, 95%CrI 0.37-0.63; PFS: HR 0.45, 95%CrI 0.33-0.63; ORR: OR 2.70, 95%CrI 1.60-4.60) and showed consistent improvements across both cisplatin-eligible and cisplatin-ineligible patients. ICI plus chemotherapy (ICI+Chemo) also improved OS (HR 0.83, 95%CrI 0.70-0.96) and PFS (HR 0.78, 95% CrI 0.63-0.95). ICI monotherapy was associated with the lowest odds of grade ≥ 3 AEs (OR 0.11, 95%CrI 0.03-0.44) but ranked lowest for efficacy. Conclusion: ICI+ADC may represent a promising first-line option when available. ICI+Chemo remains an appropriate alternative, whereas ICI monotherapy may be reserved for patients unsuitable for combination therapy.

Keywords: Urothelial carcinoma; antibody–drug conjugate; first-line therapy; immune checkpoint inhibitor."
A workflow for assessing antibody-drug conjugate target expression on circulating tumour cells from triple-negative breast cancer and epithelial ovarian cancer patients.,"Henderson BD, McMahon L, Lewis F, Marion C, Hurley S, Gately K, Narinda I, Kanjuga M, Norris L, Martin C, Conlon N, O'Driscoll L, Saadeh FA, O'Gorman C, Maguire PJ, Kamran W, Ibrahim E, Cadoo KA, Coleman N, O'Leary JJ, Ward MP, O'Toole SA.",42433605,https://pubmed.ncbi.nlm.nih.gov/42433605/,"Abstract

Background: Antibody-drug conjugates (ADCs) are transforming the therapeutic landscape of solid tumours. Both patient selection and ADC efficacy in triple-negative breast cancer (TNBC) and epithelial ovarian cancer (EOC) are impacted by target antigen expression, which is often heterogeneous. Single tissue biopsies cannot capture this spatial heterogeneity, creating a need for real-time assessment to guide treatment. Circulating tumour cells (CTCs) may serve as minimally invasive biomarkers that can reflect ADC target expression. The aim of this study was to assess the detectability of clinically relevant ADC targets on CTCs in TNBC and EOC.

Methods: ADC targets TROP-2 (TNBC) and FRα (EOC) were selected, along with emerging targets PD-L1 and CLDN6. Flow cytometry was used to characterise surface target antigen expression in three TNBC (MDA-MB-231, MDA-MB-468, HCC1937) and three EOC (SKOV3, OVCAR3, Kuramochi) cell lines. Cell spike-in assays using the Parsortix® system were performed to optimise in-cassette fixation and staining conditions, which were then applied to patient-derived samples for CTC enrichment and immunostaining.

Results: Flow cytometry revealed heterogeneous antigen expression across cell lines. In TNBC, TROP-2 was uniformly expressed including in EpCAM-low MDA-MB-231 cells, whereas FRα was minimal or absent. PD-L1 was highly expressed in MDA-MB-231 and HCC1937 but low in MDA-MB-468. In EOC, FRα and TROP-2 were detectable in SKOV3 and OVCAR3 but low or absent in Kuramochi cells. Spike-in assays confirmed in-cassette detection of TROP-2, FRα, and PD-L1 following Parsortix® enrichment. In patient samples, TROP-2+ CTCs were identified in TNBC and FRα+ CTCs in EOC.

Conclusion: This study demonstrates the feasibility of real-time ADC target assessment on CTCs using epitope-independent enrichment. TROP-2 shows additional utility for detecting CTCs with low EpCAM expression in TNBC. Incorporating ADC target markers into CTC workflows may enable monitoring of target expression, with potential to guide therapeutic decision-making in TNBC and EOC.

Keywords: Antibody-drug conjugates; Circulating tumour cells; Epithelial ovarian cancer; Epitope-independent enrichment; Multiplex staining; Triple-negative breast cancer."
Is TROP2 ADC ready for EGFR-TKI-resistant NSCLC?,"Han J, Kobayashi K, Velasco RN Jr, Tan AC.",42433228,https://pubmed.ncbi.nlm.nih.gov/42433228/,"No abstract available

Keywords: EGFR mutation; epidermal growth factor receptor-tyrosine kinase inhibitor (EGFR-TKI); non-small cell lung cancer (NSCLC); trophoblast cell-surface antigen 2 antibody-drug conjugate (TROP2 ADC)."
Age-associated B-cells predict coronary events in humans and aggravate murine atherosclerosis.,"de Mol J, Katra P, Smit V, Witteveen A, Tomas L, Andersson L, Engels SWM, Andersson S, Bernabé Kleijn MNA, Schiopu A, Bengtsson E, Bot I, Engelbertsen D, Kuiper J, Björkbacka H, Foks AC.",42433156,https://pubmed.ncbi.nlm.nih.gov/42433156/,"Abstract

Aims: Aging is a major risk factor for cardiovascular disease (CVD) and is also linked to a functional decline of the immune system. B-cells contribute to atherosclerosis progression by antibody secretion, antigen presentation and T-cell regulation. During aging, CD11c + CD21low B-cells accumulate, but it is unclear whether these age-associated B-cells (ABCs) are linked with incident cardiovascular events in humans and if they contribute to the progression of atherosclerosis.

Methods and results: To investigate associations with first-time coronary events, circulating B-cells were phenotyped with flow cytometry in a case-control study (N = 604) nested in the Malmö Diet and Cancer Study cohort with a median of 14 years follow-up. Splenic B-cells in young (5 months) and aged (21 months) female Ldlr-/- mice were characterized with single-cell RNA-sequencing coupled with B-cell receptor (BCR)-sequencing. Atherogenicity of ABCs was determined by adoptive transfer to Ldlr-/- and Ldlr-/-Rag1-/- mice.Compared with other B-cell populations, ABCs showed a significant positive correlation with age (Spearman's rho 0.24; P < 0.0001; across 46-68 years of age) and accumulated in aged atherosclerotic mice. Coronary event cases had higher counts of ABCs than controls and regression analysis revealed an association with incident coronary events, that was independent of cardiovascular risk factors [odds ratio: 1.92 (95% CI 1.13-3.27), P = 0.016, comparing the 4th vs 1st quartile]. Adoptive transfer of ABCs to recipient mice promoted atherosclerotic lesion development. In Ldlr-/- Rag1-/- mice, ABCs also increased necrotic cores (P < 0.05). B-cells recovered from recipient mice after transfer expressed CD138 and secreted antibodies. In line with these findings, we demonstrated that ABCs expressed plasma cell differentiation genes and showed the greatest clonal expansion within the B-cell compartment, with extensive clonal overlap with plasma cells.

Conclusions: We show that ABCs predict first-time coronary events in humans and contribute to the immunopathology of atherosclerosis in mice, indicating that clonal expansion and accumulation of ABCs contribute to the strong association between age and CVD. ABCs may serve as potential prognostic and therapeutic targets for CVD."
Medicinal Chemistry of Agents for Cancer Therapy and Diagnosis From Uruguay.,"Lavaggi ML, García MF, Cabrera M, Couto M, Cerecetto H.",42432465,https://pubmed.ncbi.nlm.nih.gov/42432465/,"Abstract

This review summarizes the evolution of our research on anticancer agents, from early efforts on hypoxia-selective cytotoxins to more recent developments in chemoprevention, molecular targeting, and radiopharmacy. Initial studies focused on the design of N-oxide-containing heterocycles as bioreductive-prodrugs activated under tumor hypoxia. While early triazine N-oxides and furoxans showed limited selectivity, these studies underscored the importance of redox-properties in biological activities. This led to the identification of phenazine 5,10-dioxides as a more suitable pharmacophore, affording compounds with improved potency- and hypoxia-selectivity, supported by mechanistic-, physicochemical-, and in vivo studies. Parallel efforts explored metal-based complexes and formulation strategies enhancing bioavailability and therapeutic performance. Alongside these efforts, cancer chemopreventive-agents were investigated, particularly chalcone-derived scaffolds and related hybrids capable of modulating phase I/II enzymes through Nrf2 activation. Additionally, attention has shifted toward targeted- and diagnostic-approaches, including radiopharmaceuticals for hypoxia-imaging and the use of biomolecular recognition systems, such as aptamers, polypeptides, and antibodies, to selectively address tumor-associated biomarkers. These strategies include aptamer-based biotherapeutics for drug delivery and imaging, as well as approaches combining tyrosine kinase receptor targeting with BNCT. Furthermore, bioorthogonal-methodologies have been explored enabling selective in situ activation and targeting. Together, these studies illustrate a multidisciplinary approach integrating chemistry, biology, and pharmacology toward more selective anticancer strategies.

Keywords: bioorthogonal chemistry; bioreductive selective cytotoxins; boron neutron capture therapy; chemopreventive agents; tyrosine kinase inhibitors."
Combined therapy with ALK inhibitors and a novel EGFR-targeting antibody-drug conjugate as a strategy for ALK-rearranged non-small cell lung cancers.,"Zhang L, Wu X, Gao J, Zhou D, Xin J, Zhu S, Li Z, Cui AL, Miao Q, Gao R.",42431869,https://pubmed.ncbi.nlm.nih.gov/42431869/,"Abstract

Non-small cell lung cancer (NSCLC) remains the leading cause of cancer-related death. Targeted monotherapies against the actionable oncogenic drivers, including anaplastic lymphoma kinase (ALK) rearrangement and epidermal growth factor receptor (EGFR) dysregulation, are well-established for molecularly selected NSCLC patients. However, therapeutic resistance remains a major clinical challenge, and combinatorial strategies targeting distinct signaling pathways may overcome the limitations of single-agent targeted therapies. LR004-VC-MMAE, a novel EGFR-targeting antibody‒drug conjugate (ADC), shows potent antitumor efficacy in multiple EGFR-positive xenografts, yet its therapeutic potential in ALK-rearranged NSCLC remains largely unexplored. Here, we evaluated a novel combinatorial strategy using ALK inhibitors (crizotinib, ceritinib, alectinib, and lorlatinib) in combination with LR004-VC-MMAE in ALK-rearranged NSCLC models. We found that both ALK and cell-surface EGFR were highly expressed in ALK-rearranged NCI-H3122 and NCI-H2228 cell lines but were expressed at low levels in the ALK-wild-type NCI-H460 cell line. All ALK inhibitor-ADC regimens synergistically suppressed proliferation in ALK-rearranged NSCLC cells, while exerting little synergy in ALK wild-type and EGFR-low counterparts. Moreover, crizotinib or ceritinib combined with LR004-VC-MMAE induced significantly greater apoptosis in NCI-H3122 cells compared with either single agent. Mechanistically, the crizotinib-LR004-VC-MMAE combination markedly downregulated ALK and EGFR expression and triggered apoptosis via mitochondrial depolarization-mediated caspase cascade activation and endoplasmic reticulum stress-induced unfolded protein response. In NCI-H3122 xenografts, this combination achieved synergistic tumor inhibition without increased toxicity compared with either treatment alone. Collectively, our findings demonstrate the synergistic antitumor activity of ALK inhibitor plus LR004-VC-MMAE against ALK-rearranged, EGFR-high NSCLC, providing a mechanistic rationale for further clinical development of this combination strategy."
Is the HIV-2 pandemic going extinct 40 years after virus discovery?,"Soriano V, Konan B, Segla R, Moreno-Torres V, de Mendoza C.",42431766,https://pubmed.ncbi.nlm.nih.gov/42431766/,"Abstract

A close but genetically divergent retrovirus named HIV-2 was discovered in 1986 in West African patients with AIDS negative or indeterminate for HIV-1 antibodies. Viral replication is lower in HIV-2, being plasma viremia often undetectable or low. As result, HIV-2 transmission either by sex or vertically, is lower compared to HIV-1. Alongside, CD4+ T-cell declines occur slowly and clinical manifestations of immunodeficiency may appear after 15 years in HIV-2 patients. Over 10% of HIV-2 carriers may remain asymptomatic lifelong. The susceptibility of HIV-2 to antiretroviral drugs is generally lower than for HIV-1, being non-nucleoside reverse transcriptase inhibitors non active. Some protease inhibitors, as darunavir, are effective. All integrase inhibitors block HIV-2, and either dolutegravir or bictegravir are the preferred drug choices. Specific viral load tests must be used to monitor HIV-2 plasma viremia. Trends in epidemiological surveys confirm that the HIV-2 pandemic is falling down with less infected persons yearly in endemic regions and globally.

Keywords: AIDS; Coinfection; HIV-2; Pregnant women; West Africa; Zoonosis."
Safety of concurrent radiation therapy with the antibody-drug conjugate polatuzumab vedotin in relapsed or refractory aggressive B-cell lymphomas.,"Melancon ST, Wang EB, Fang PQ, Lin TA, Saifi O, Dabaja BS, Pinnix CC, Nze C, Nair R, Ahmed S, Strati P, Chihara D, Westin JR, Gunther JR, Wu SY.",42431370,https://pubmed.ncbi.nlm.nih.gov/42431370/,"Abstract

Background: Polatuzumab vedotin (PV) is a CD79b-targeted antibody-drug conjugate (ADC) used in patients with high grade B-cell lymphomas. While its safety profile is well-established, limited safety data exist on concurrent administration with radiation therapy (RT). This study evaluates the toxicity profile of PV administered concurrently with RT (PVRT).

Methods: We retrospectively analyzed patients with B-cell lymphomas who received PVRT (PV within 3 weeks prior or during RT) at a single institution. Toxicities were graded per CTCAE (Common Terminology Criteria for Adverse Events) v5.0 and categorized as pre-RT, acute (start of RT to 1-month post-RT), or subacute (2-3 months post-RT). Associations were assessed using Mann-Whitney U and chi-squared tests.

Results: Twenty-one patients were included with a median age of 57 years. Patients had received a median of 4 lines of prior systemic therapy, and 48% received additional concurrent systemic therapy with PVRT. Acute grade 3 or higher (G3+) hematologic toxicity (HT) was associated with G3+ HT prior to PVRT (p = 0.03). Increase in acute HT grade, but not subacute HT grade, was associated with RT dose (p = 0.03). Grade 2+ neuropathy prior to PVRT was associated with acute G2+ neuropathy after PVRT (p = 0.001). other nonhematologic toxicities (pain, fatigue, diarrhea) and elevated liver function tests (LFTs) pre-PVRT were not associated with acute/subacute toxicity. Median follow up was 3.5 months with 86% of patients deceased; median follow-up for surviving patients was 20 months (interquartile range (IQR) 7-39 months).

Conclusions: Delivery of PVRT is feasible with low rates of new onset toxicity. Acute HT was strongly associated with prior HT, though RT dose was associated with increased acute, but not subacute, HT grade. No unexpected toxicity was observed. Further prospective studies are needed to optimize integration of PV with RT."
